file,line,field,class,sub_issue,target_facade,snippet
zhtp-cli/src/commands/genesis.rs,32,blocks,Recent,#2636,Blockchain::iter_blocks() / latest_block() / block_by_height(h),"let block0 = bc.blocks.first().context(""No genesis block"")?;"
zhtp/src/api/server.rs,303,blocks,Aggregate,#2636,Blockchain::iter_blocks() / latest_block() / block_by_height(h),let block_count = blockchain.blocks.len();
zhtp/src/runtime/components/blockchain.rs,860,blocks,Aggregate,#2636,Blockchain::iter_blocks() / latest_block() / block_by_height(h),"metrics.insert(""total_blocks"".to_string(); blockchain.blocks.len() as f64);"
zhtp/src/runtime/components/blockchain.rs,872,blocks,Aggregate,#2636,Blockchain::iter_blocks() / latest_block() / block_by_height(h),let avg_block_size = if blockchain.blocks.len() > 0 {
zhtp/src/runtime/components/blockchain.rs,878,blocks,Aggregate,#2636,Blockchain::iter_blocks() / latest_block() / block_by_height(h),/ blockchain.blocks.len() as f64
zhtp/src/runtime/components/blockchain.rs,885,blocks,Aggregate,#2636,Blockchain::iter_blocks() / latest_block() / block_by_height(h),"metrics.insert(""total_blocks"".to_string(); blockchain.blocks.len() as f64);"
zhtp/src/runtime/components/blockchain.rs,897,blocks,Aggregate,#2636,Blockchain::iter_blocks() / latest_block() / block_by_height(h),let avg_block_size = if blockchain.blocks.len() > 0 {
zhtp/src/runtime/components/blockchain.rs,903,blocks,Aggregate,#2636,Blockchain::iter_blocks() / latest_block() / block_by_height(h),/ blockchain.blocks.len() as f64
zhtp/src/runtime/components/consensus.rs,1412,blocks,Aggregate,#2636,Blockchain::iter_blocks() / latest_block() / block_by_height(h),if blockchain.blocks.is_empty() {
zhtp/src/runtime/components/consensus.rs,1416,blocks,Recent,#2636,Blockchain::iter_blocks() / latest_block() / block_by_height(h),let latest_block = blockchain.blocks.last().unwrap();
zhtp/src/runtime/components/consensus.rs,1514,blocks,Aggregate,#2636,Blockchain::iter_blocks() / latest_block() / block_by_height(h),return !blockchain.blocks.is_empty() || blockchain.height == 0;
zhtp/src/runtime/mod.rs,2242,blocks,Aggregate,#2636,Blockchain::iter_blocks() / latest_block() / block_by_height(h),for block in &bc.blocks {
zhtp/src/runtime/mod.rs,2270,blocks,Aggregate,#2636,Blockchain::iter_blocks() / latest_block() / block_by_height(h),bc.blocks.len()
zhtp/src/runtime/mod.rs,2466,blocks,Recent,#2636,Blockchain::iter_blocks() / latest_block() / block_by_height(h),if let Some(genesis_block) = bc.blocks.first() {
zhtp/src/runtime/mod.rs,6261,blocks,Lookup,#2636,Blockchain::iter_blocks() / latest_block() / block_by_height(h),bc.blocks[0].header.version = bc.blocks[0].header.version.saturating_add(1);
zhtp/src/runtime/services/genesis_funding.rs,123,blocks,Aggregate,#2636,Blockchain::iter_blocks() / latest_block() / block_by_height(h),if blockchain.blocks.is_empty() {
zhtp/src/runtime/services/genesis_funding.rs,127,blocks,Lookup,#2636,Blockchain::iter_blocks() / latest_block() / block_by_height(h),let genesis_block = &mut blockchain.blocks[0];
zhtp/src/runtime/shared_blockchain.rs,103,blocks,Aggregate,#2636,Blockchain::iter_blocks() / latest_block() / block_by_height(h),if height < blockchain.blocks.len() as u64 {
zhtp/src/runtime/shared_blockchain.rs,104,blocks,Lookup,#2636,Blockchain::iter_blocks() / latest_block() / block_by_height(h),Ok(Some(blockchain.blocks[height as usize].clone()))
zhtp/src/runtime/shared_blockchain.rs,117,blocks,Aggregate,#2636,Blockchain::iter_blocks() / latest_block() / block_by_height(h),for block in &blockchain.blocks {
zhtp/src/unified_server.rs,2128,blocks,Aggregate,#2636,Blockchain::iter_blocks() / latest_block() / block_by_height(h),block_count: blockchain.blocks.len();
tools/chain_audit.rs,161,token_contracts,Reference,#2637,"Blockchain::token_balance(token,addr) [bal] | token_contract(token) [meta]",let sov_balance_count = bc.token_contracts
tools/chain_audit.rs,165,token_contracts,Reference,#2637,"Blockchain::token_balance(token,addr) [bal] | token_contract(token) [meta]",let sov_total: u128 = bc.token_contracts
zhtp/src/api/handlers/oracle/mod.rs,434,token_contracts,Aggregate,#2637,"Blockchain::token_balance(token,addr) [bal] | token_contract(token) [meta]",bc.token_contracts.values().find(|t| t.symbol == cbe_symbol)
zhtp/src/api/handlers/oracle/mod.rs,627,token_contracts,Aggregate,#2637,"Blockchain::token_balance(token,addr) [bal] | token_contract(token) [meta]",bc.token_contracts.values().find(|t| t.symbol == cbe_symbol)
zhtp/src/api/handlers/web4/domains.rs,2415,token_contracts,Lookup,#2637,"Blockchain::token_balance(token,addr) [bal] | token_contract(token) [meta]",let token = bc.token_contracts.get(&sov_token_id).unwrap();
zhtp/src/api/handlers/web4/domains.rs,2444,token_contracts,Mutate,#2637,"Blockchain::token_balance(token,addr) [bal] | token_contract(token) [meta]",let token = bc.token_contracts.get_mut(&sov_token_id).unwrap();
zhtp/src/runtime/mod.rs,1140,token_contracts,Aggregate,#2637,"Blockchain::token_balance(token,addr) [bal] | token_contract(token) [meta]",|| !blockchain.token_contracts.is_empty();
zhtp/src/runtime/mod.rs,1146,token_contracts,Aggregate,#2637,"Blockchain::token_balance(token,addr) [bal] | token_contract(token) [meta]",blockchain.token_contracts.len()
zhtp/src/runtime/mod.rs,1202,token_contracts,Lookup,#2637,"Blockchain::token_balance(token,addr) [bal] | token_contract(token) [meta]",if !blockchain.token_contracts.contains_key(&sov_token_id) {
zhtp/src/runtime/mod.rs,1204,token_contracts,Mutate,#2637,"Blockchain::token_balance(token,addr) [bal] | token_contract(token) [meta]",blockchain.token_contracts.insert(sov_token_id; sov_token);
zhtp/src/runtime/mod.rs,1352,token_contracts,Lookup,#2637,"Blockchain::token_balance(token,addr) [bal] | token_contract(token) [meta]",if let Some(sov_contract) = blockchain.token_contracts.get(&sov_token_id) {
zhtp/src/runtime/mod.rs,2165,token_contracts,Aggregate,#2637,"Blockchain::token_balance(token,addr) [bal] | token_contract(token) [meta]",bc.token_contracts.len()
zhtp/src/runtime/mod.rs,2171,token_contracts,Lookup,#2637,"Blockchain::token_balance(token,addr) [bal] | token_contract(token) [meta]",if !bc.token_contracts.contains_key(&sov_token_id) {
zhtp/src/runtime/mod.rs,2173,token_contracts,Mutate,#2637,"Blockchain::token_balance(token,addr) [bal] | token_contract(token) [meta]",bc.token_contracts.insert(sov_token_id; sov_token.clone());
zhtp/src/runtime/services/genesis_funding.rs,59,token_contracts,Lookup,#2637,"Blockchain::token_balance(token,addr) [bal] | token_contract(token) [meta]",if !blockchain.token_contracts.contains_key(&sov_token_id) {
zhtp/src/runtime/services/genesis_funding.rs,61,token_contracts,Mutate,#2637,"Blockchain::token_balance(token,addr) [bal] | token_contract(token) [meta]",blockchain.token_contracts.insert(sov_token_id; sov_token);
zhtp/src/runtime/services/genesis_funding.rs,225,token_contracts,Mutate,#2637,"Blockchain::token_balance(token,addr) [bal] | token_contract(token) [meta]",if let Some(token) = blockchain.token_contracts.get_mut(&sov_token_id) {
zhtp/src/api/handlers/blockchain/mod.rs,3030,utxo_set,Aggregate,#2637+,Blockchain::utxo(outpoint),let utxos_tracked = blockchain.utxo_set.len();
zhtp/src/api/handlers/marketplace/mod.rs,456,utxo_set,Aggregate,#2637+,Blockchain::utxo(outpoint),blockchain.utxo_set.len();
zhtp/src/api/handlers/marketplace/mod.rs,460,utxo_set,Reference,#2637+,Blockchain::utxo(outpoint),for (utxo_hash; output) in &blockchain.utxo_set {
zhtp/src/api/handlers/marketplace/mod.rs,545,utxo_set,Reference,#2637+,Blockchain::utxo(outpoint),previous_output: *utxo_hash; //  CORRECT: Use actual UTXO hash from blockchain.utxo_set
zhtp/src/runtime/components/blockchain.rs,865,utxo_set,Aggregate,#2637+,Blockchain::utxo(outpoint),"metrics.insert(""utxo_count"".to_string(); blockchain.utxo_set.len() as f64);"
zhtp/src/runtime/components/blockchain.rs,890,utxo_set,Aggregate,#2637+,Blockchain::utxo(outpoint),"metrics.insert(""utxo_count"".to_string(); blockchain.utxo_set.len() as f64);"
zhtp/src/runtime/mod.rs,1139,utxo_set,Aggregate,#2637+,Blockchain::utxo(outpoint),|| !blockchain.utxo_set.is_empty()
zhtp/src/runtime/mod.rs,1145,utxo_set,Aggregate,#2637+,Blockchain::utxo(outpoint),blockchain.utxo_set.len();
zhtp/src/runtime/mod.rs,4673,utxo_set,Aggregate,#2637+,Blockchain::utxo(outpoint),blockchain.utxo_set.len();
